ascii_name,description,genus_pk,id,iso_codes,jsondata,latitude,longitude,macroarea,markup_description,name,pk,samples_100,samples_200
aari,,9,aar,aiw,{},6.0,36.5833333333,Africa,,Aari,1668,False,False
abidji,,275,abd,abi,{},5.66666666667,-4.58333333333,Africa,,Abidji,628,False,False
acholi,,320,acl,ach,{},3.0,32.6666666667,Africa,,Acholi,1886,False,False
adamorobe sign language,,330,ada,ads,{},5.83333333333,-0.166666666667,Africa,,Adamorobe Sign Language,268,False,False
adioukrou,,275,adi,adj,{},5.41666666667,-4.58333333333,Africa,,Adioukrou,1821,False,False
afrikaans,,181,afr,afr,{},-31.0,22.0,Africa,,Afrikaans,1380,False,False
aghem,,274,agh,agq,{},6.66666666667,10.0,Africa,,Aghem,1381,False,False
aizi,,277,aiz,ahp,{},5.25,-4.5,Africa,,Aizi,1154,False,False
aja,,301,aja,aja,{},7.33333333333,25.6666666667,Africa,,Aja,1099,False,False
ajagbe,,275,ajg,ajg,{},7.0,1.75,Africa,,Ajagbe,2589,False,False
aka,,274,aka,axk,{},2.66666666667,16.25,Africa,,Aka,4,False,False
akan,,275,akn,aka,{},6.5,-1.25,Africa,,Akan,2309,False,False
akwa,,286,awk,png,{},10.0833333333,6.33333333333,Africa,,Akwa,8,False,False
alagwa,,1,agw,wbj,{},-5.5,35.75,Africa,,Alagwa,969,False,False
alladian,,275,ald,ald,{},5.16666666667,-4.33333333333,Africa,,Alladian,1210,False,False
amharic,,10,amh,amh,{},10.0,38.0,Africa,,Amharic,2387,False,False
amo,,286,amo,amo,{},10.3333333333,8.66666666667,Africa,,Amo,1920,False,False
angas,,6,anc,anc,{},9.5,9.5,Africa,,Angas,2070,False,False
angolar,,331,ago,aoa,{},0.25,6.5,Africa,,Angolar,631,False,False
ani,,210,ani,hnh,{},-18.9166666667,21.9166666667,Africa,,//Ani,2090,False,False
anufo,,275,anu,cko,{},10.0833333333,0.25,Africa,,Anufo,500,False,False
anyi,,275,ayi,any,{},7.0,-3.5,Africa,,Anyi,1016,False,False
anywa,,320,any,anu,{},8.0,33.5,Africa,,Anywa,1946,False,False
arabic (banihassan),,10,ahs,mey,{},20.0,-10.0,Africa,,Arabic (Bani-Hassan),502,False,False
arabic (borno nigerian),,10,arn,shu,{},8.58333333333,12.4166666667,Africa,,Arabic (Borno Nigerian),13,False,False
arabic (chadian),,10,abb,shu,{},13.8333333333,20.8333333333,Africa,,Arabic (Chadian),275,False,False
arabic (eastern libyan),,10,ael,ayl,{},32.0,22.0,Africa,,Arabic (Eastern Libyan),634,False,False
arabic (egyptian),,10,aeg,arz,{},30.0,31.0,Africa,,Arabic (Egyptian),2518,True,True
arabic (moroccan),,10,amr,ary,{},34.0,-6.0,Africa,,Arabic (Moroccan),2199,False,False
arabic (tunisian),,10,atu,aeb,{},36.75,10.25,Africa,,Arabic (Tunisian),911,False,False
arbore,,698,abo,arv,{},5.0,36.75,Africa,,Arbore,1211,False,False
avatime,,275,avt,avn,{},6.83333333333,0.416666666667,Africa,,Avatime,21,False,False
avikam,,275,avk,avi,{},5.16666666667,-5.5,Africa,,Avikam,2591,False,False
avokaya,,304,avo,avu,{},4.66666666667,30.0,Africa,,Avokaya,1496,False,False
awngi,,7,awn,awn,{},10.8333333333,36.6666666667,Africa,,Awngi,1633,False,False
baale,,322,blj,koe,{},6.5,34.5,Africa,,Baale,509,False,False
babole,,274,bbl,bvx,{},1.08333333333,17.25,Africa,,Babole,1342,False,False
babungo,,274,bab,bav,{},6.11666666667,10.4166666667,Africa,,Babungo,2246,False,False
bade,,6,bad,bde,{},12.8333333333,10.5,Africa,,Bade,279,False,False
bafia,,274,bfi,ksf,{},5.0,11.1666666667,Africa,,Bafia,1156,False,False
bafut,,274,baf,bfd,{},6.25,9.91666666667,Africa,,Bafut,1157,False,False
baga sitemu,,291,bgs,bsp,{},10.5,-14.5,Africa,,Baga Sitemu,914,False,False
bagirmi,,305,bag,bmi,{},11.6666666667,16.0,Africa,,Bagirmi,2462,True,True
bagiro,,305,bgr,fuu,{},4.33333333333,20.5833333333,Africa,,Bagiro,1634,False,False
baka (in cameroon),,287,bak,bkc,{},2.58333333333,13.5833333333,Africa,,Baka (in Cameroon),1825,False,False
baka (in south sudan),,305,bka,bdh,{},4.83333333333,29.25,Africa,,Baka (in South Sudan),1441,False,False
bakueri,,274,bku,bri,{},4.25,9.25,Africa,,Bakueri,1343,False,False
bakundu,,274,bkn,bdu,{},4.83333333333,9.33333333333,Africa,,Bakundu,510,False,False
balanta,,276,blz,"bjt, ble",{},12.25,-15.3333333333,Africa,,Balanta,1158,False,False
bambara,,292,bam,bam,{},12.5,-7.5,Africa,,Bambara,2375,False,True
bamun,,274,bmn,bax,{},5.5,10.9166666667,Africa,,Bamun,27,False,False
bana,,5,ban,bcw,{},10.4166666667,13.5833333333,Africa,,Bana,28,False,False
bandi,,292,bnd,bza,{},8.08333333333,-10.25,Africa,,Bandi,29,False,False
bangime,,105,bgm,dba,{},14.9166666667,-3.83333333333,Africa,,Bangime,2598,False,False
bankon,,274,bnk,abb,{},4.41666666667,9.58333333333,Africa,,Bankon,1102,False,False
barambu,,287,bbu,brm,{},3.5,27.0,Africa,,Barambu,1345,False,False
bari,,320,bar,bfa,{},5.0,31.6666666667,Africa,,Bari,2146,False,False
bariba,,290,brb,bba,{},10.0,2.5,Africa,,Bariba,1160,False,False
basaa,,274,bas,bas,{},3.91666666667,10.5,Africa,,Basaá,1295,False,False
basari,,276,bsr,bsc,{},12.6666666667,-13.0,Africa,,Basari,1019,False,False
baule,,275,ble,bci,{},7.0,-5.0,Africa,,Baule,1383,False,False
bayso,,698,bys,bsw,{},6.25,37.75,Africa,,Bayso,512,False,False
beembe,,274,bee,beq,{},-3.91666666667,14.0833333333,Africa,,Beembe,1216,False,False
beja,,3,bej,bej,{},18.0,36.0,Africa,,Beja,2401,False,True
bemba,,274,bem,bem,{},-10.0,28.25,Africa,,Bemba,1296,False,False
benalulua,,274,blu,lua,{},-6.0,21.0,Africa,,Bena-Lulua,862,False,False
beng,,273,bnq,nhb,{},7.83333333333,-4.25,Africa,,Beng,284,False,False
benga,,274,bga,bng,{},1.16666666667,9.41666666667,Africa,,Benga,513,False,False
berber (ayt seghrouchen middle atlas),,4,bse,tzm,{},33.3333333333,-4.66666666667,Africa,,Berber (Ayt Seghrouchen Middle Atlas),863,False,False
berber (chaouia),,4,bch,shy,{},35.0,7.0,Africa,,Berber (Chaouia),1020,False,False
berber (middle atlas),,4,bma,tzm,{},33.0,-5.0,Africa,,Berber (Middle Atlas),2473,True,True
berber (mzab),,4,bmz,mzb,{},32.5,3.5,Africa,,Berber (Mzab),287,False,False
berber (rif),,4,brf,rif,{},34.5,-4.0,Africa,,Berber (Rif),1826,False,False
berber (siwa),,4,bsi,siz,{},29.1666666667,25.5,Africa,,Berber (Siwa),915,False,False
berber (wargla),,4,bou,oua,{},31.9166666667,5.33333333333,Africa,,Berber (Wargla),33,False,False
beria,,312,zag,zag,{},16.0,23.0,Africa,,Beria,2599,False,False
berta,,319,ber,wti,{},10.3333333333,34.6666666667,Africa,,Berta,2132,False,False
bete,,277,bet,bev,{},6.25,-6.25,Africa,,Bété,1539,False,False
biafada,,276,bfd,bif,{},11.4166666667,-15.1666666667,Africa,,Biafada,34,False,False
bidiya,,2,bid,bid,{},11.9166666667,18.75,Africa,,Bidiya,1442,False,False
bilin,,7,bln,byn,{},15.75,38.5,Africa,,Bilin,1922,False,False
bimoba,,290,bmb,bim,{},10.5,0.0,Africa,,Bimoba,1673,False,False
binga,,305,big,yul,{},8.0,25.0,Africa,,Binga,865,False,False
bini,,295,bni,bin,{},6.41666666667,5.83333333333,Africa,,Bini,1384,False,False
bira,,274,bia,"bip, brf",{},1.0,28.75,Africa,,Bira,1103,False,False
birom,,283,bir,bom,{},9.66666666667,8.83333333333,Africa,,Birom,2202,False,False
birri,,305,brz,bvq,{},5.5,25.1666666667,Africa,,Birri,288,False,False
bisa,,273,bis,bib,{},11.5,-0.5,Africa,,Bisa,1348,False,False
bobangi,,274,bob,bni,{},-1.33333333333,17.3333333333,Africa,,Bobangi,1218,False,False
bobo madare (northern),,292,bbf,bbo,{},12.4166666666667,-4.3333333333333,Africa,,Bobo Madaré (Northern),1219,False,False
boko,,273,bok,bqc,{},10.5,3.5,Africa,,Boko,917,False,False
bole,,6,blq,bol,{},11.3333333333,11.25,Africa,,Bole,517,False,False
bolia,,274,bol,bli,{},-1.25,18.3333333333,Africa,,Bolia,1023,False,False
bongo,,305,bgo,bot,{},7.5,28.5,Africa,,Bongo,1674,False,False
bozo (tigemaxo),,292,boz,boz,{},15.0,-4.0,Africa,,Bozo (Tigemaxo),867,False,False
bubi,,274,bub,bvb,{},3.5,8.66666666667,Africa,,Bubi,919,False,False
budu,,274,bdu,buu,{},2.0,28.0,Africa,,Budu,2594,False,False
buduma,,5,bud,bdm,{},13.5,14.5,Africa,,Buduma,1991,False,False
bujeba,,274,buj,nmg,{},3.0,10.1666666667,Africa,,Bujeba,292,False,False
bukusu,,274,buk,bxk,{},0.75,34.6666666667,Africa,,Bukusu,518,False,False
buli (in ghana),,290,buy,bwu,{},10.5,-1.25,Africa,,Buli (in Ghana),39,False,False
bulu,,274,buw,bum,{},3.0,11.0,Africa,,Bulu,519,False,False
burapabir,,5,bpa,bwr,{},10.5,12.25,Africa,,Bura-Pabir,40,False,False
burji,,698,brj,bji,{},5.5,37.8333333333,Africa,,Burji,661,False,False
burunge,,1,brn,bds,{},-5.33333333333,36.0,Africa,,Burunge,2038,False,False
busa,,273,bus,bqp,{},9.66666666667,4.0,Africa,,Busa,1498,False,False
bushoong,,274,bsh,buf,{},-4.5,21.5,Africa,,Bushoong,1588,False,False
chaga,,274,cga,old,{},-3.0,37.0,Africa,,Chaga,974,False,False
chaha,,10,chh,sgw,{},8.112935,37.93267,Africa,,Chaha,1863,False,False
chai,,322,cai,suq,{},5.33333333333,35.3333333333,Africa,,Chai,1677,False,False
chichewa,,274,cic,nya,{},-14.0,34.0,Africa,,Chichewa,1950,False,False
chumburung,,275,cum,ncu,{},7.75,0.25,Africa,,Chumburung,666,False,False
ciluba,,274,cil,lua,{},-6.0,22.0,Africa,,CiLuba,1501,False,False
comorian,,274,com,swb,{},-12.0,44.0,Africa,,Comorian,308,False,False
coptic,,8,cop,cop,{},26.0,32.0,Africa,,Coptic,2187,False,False
daba,,5,dab,"dbq, dkx",{},10.1666666667,13.75,Africa,,Daba,522,False,False
dabida,,274,dbd,dav,{},-4.0,38.6666666667,Africa,,Dabida,670,False,False
dadjriwale,,277,ddj,god,{},5.25,-5.66666666667,Africa,,Dadjriwalé,2579,False,False
dagaare,,290,dga,dga,{},10.5,-2.66666666667,Africa,,Dagaare,1864,False,False
dagbani,,290,dgb,dag,{},9.58333333333,-0.5,Africa,,Dagbani,2188,False,False
dahalo,,699,dah,dal,{},-2.33333333333,40.5,Africa,,Dahalo,1447,False,False
daju (dar fur),,318,ddf,daj,{},12.25,25.25,Africa,,Daju (Dar Fur),1225,False,False
dan,,273,dan,dnj,{},7.5,-8.0,Africa,,Dan,2074,False,False
dan (blowo),,273,dbw,daf,{},7.33333333333,-8.16666666667,Africa,,Dan (Blowo),49,False,False
dangaleat (western),,2,dnw,daa,{},12.1666666667,18.3333333333,Africa,,Dangaléat (Western),1226,False,False
datooga,,320,dat,tcc,{},-4.33333333333,35.3333333333,Africa,,Datooga,312,False,False
day,,279,day,dai,{},8.75,17.8333333333,Africa,,Day,1302,False,False
defaka,,288,def,afn,{},4.58333333333,7.5,Africa,,Defaka,523,False,False
degema,,295,deg,deg,{},4.75,6.75,Africa,,Degema,1388,False,False
deti,,210,det,shg,{},-20.5,24.5,Africa,,Deti,1228,False,False
dhaasanac,,698,dha,dsh,{},4.66666666667,36.3333333333,Africa,,Dhaasanac,1502,False,False
didinga,,322,did,did,{},4.5,33.5,Africa,,Didinga,1927,False,False
dii,,279,ygd,dur,{},8.0,14.0,Africa,,Dii,250,False,False
dime,,9,dim,dim,{},6.16666666667,36.25,Africa,,Dime,1543,False,False
ding,,274,dng,diz,{},-4.33333333333,19.5,Africa,,Ding,526,False,False
dinka,,320,din,dip,{},8.5,28.0,Africa,,Dinka,2203,False,False
diolafogny,,276,dio,dyo,{},13.0,-16.25,Africa,,Diola-Fogny,2390,False,True
diolakasa,,276,csk,csk,{},12.5,-16.75,Africa,,Diola-Kasa,2553,False,False
dizi,,594,diz,mdx,{},6.16666666667,36.5,Africa,,Dizi,2075,False,False
doko,,274,dok,ngc,{},3.0,23.0833333333,Africa,,Doko,923,False,False
dongo,,287,dgo,doo,{},3.0,30.0,Africa,,Dongo,1389,False,False
donno so,,296,dds,dds,{},14.3333333333,-3.58333333333,Africa,,Donno So,2556,False,False
doyayo,,279,doy,dow,{},8.66666666667,13.0833333333,Africa,,Doyayo,2249,False,False
duala,,274,dua,dua,{},4.0,9.41666666667,Africa,,Duala,1451,False,False
duka,,286,duk,dud,{},11.1666666667,5.08333333333,Africa,,Duka,1794,False,False
dullay (gollango),,698,dug,gwd,{},5.5,37.25,Africa,,Dullay (Gollango),673,False,False
duma,,274,dma,dma,{},-0.95,13.0,Africa,,Duma,980,False,False
dyimini,,290,dym,dyi,{},8.41666666667,-4.41666666667,Africa,,Dyimini,674,False,False
dyula,,292,dyu,dyu,{},9.83333333333,-4.66666666667,Africa,,Dyula,315,False,False
ebira,,278,ebi,igb,{},8.16666666667,7.0,Africa,,Ebira,1030,False,False
efik,,293,efi,efi,{},4.91666666667,8.5,Africa,,Efik,1865,False,False
